Sum,YearEnd,Hour,WeekDay,HaveDeviceId,EuropeAsiaCountryIp,Refund
14.99,2019,18.916666666666668,6,1,0,0
14.99,2019,18.916666666666668,6,1,1,0
10.66,2017,18.916666666666668,6,0,1,0
14.26,2017,18.916666666666668,6,0,1,0
4.9,2019,18.916666666666668,6,1,0,0
99.99,2017,18.916666666666668,6,1,0,0
1.67,2018,18.916666666666668,6,0,1,0
5.93,2018,18.916666666666668,6,1,1,0
0.16,2019,18.916666666666668,6,0,1,0
1.97,2019,18.916666666666668,6,1,1,0
9.99,2019,18.916666666666668,6,1,0,0
4.99,2020,18.916666666666668,6,1,1,0
5.24,2022,18.916666666666668,6,1,1,0
8.37,2021,18.916666666666668,6,0,1,0
0.17,2025,18.933333333333334,6,0,0,0
14.99,2020,18.933333333333334,6,1,0,0
6.42,2017,18.933333333333334,6,1,1,0
0.83,2018,18.933333333333334,6,0,1,0
4.99,2019,18.933333333333334,6,1,0,0
4.99,2020,18.933333333333334,6,1,1,0
1.67,2020,18.933333333333334,6,0,1,0
4.01,2018,18.933333333333334,6,1,1,0
7.99,2020,18.933333333333334,6,1,0,0
6.9,2018,18.933333333333334,6,1,1,0
0.83,2019,18.933333333333334,6,0,1,0
8.39,2019,18.95,6,1,1,0
35.62,2019,18.95,6,1,1,0
0.17,2025,18.95,6,0,0,0
0.3,2024,18.95,6,0,0,0
5.99,2018,18.95,6,1,1,0
4.99,2019,18.95,6,1,0,0
0.83,2018,18.95,6,1,1,0
0.73,2017,18.95,6,1,1,0
10.08,2017,18.95,6,1,1,0
0.83,2021,18.95,6,1,1,0
3.35,2018,18.95,6,1,1,0
125.2,2018,18.95,6,0,1,0
4.99,2018,18.95,6,1,0,0
49.99,2017,18.95,6,1,0,0
8.37,2017,18.95,6,1,1,0
1.97,2017,18.95,6,1,1,0
1.67,2020,18.95,6,1,1,0
19.99,2019,18.95,6,1,0,0
25.0,2019,18.95,6,1,0,0
4.99,2020,18.95,6,1,1,0
0.17,2017,18.95,6,0,1,0
0.83,2019,18.966666666666665,6,1,1,0
0.16,2017,18.966666666666665,6,0,1,0
27.64,2019,18.966666666666665,6,1,1,0
30.23,2017,18.966666666666665,6,1,1,0
19.99,2021,18.966666666666665,6,1,0,0
4.99,2020,18.966666666666665,6,1,0,0
0.26,2022,18.966666666666665,6,0,1,0
19.99,2019,18.966666666666665,6,1,0,0
4.99,2018,18.966666666666665,6,1,0,0
2.51,2018,18.966666666666665,6,1,1,0
8.37,2017,18.966666666666665,6,1,1,0
3.35,2019,18.966666666666665,6,1,1,0
4.99,2019,18.966666666666665,6,1,1,0
8.27,2018,18.966666666666665,6,1,1,0
62.29,2019,18.966666666666665,6,1,1,0
1.34,2019,18.983333333333334,6,0,0,0
4.99,2020,18.983333333333334,6,1,0,0
3.35,2018,18.983333333333334,6,0,1,0
15.48,2019,18.983333333333334,6,1,0,0
22.99,2019,18.983333333333334,6,0,1,0
10.95,2019,18.983333333333334,6,0,0,0
49.99,2019,19.0,6,1,0,0
1.67,2020,19.0,6,0,1,0
10.55,2021,19.0,6,1,0,0
9.99,2019,19.0,6,1,0,0
4.99,2018,19.0,6,1,0,0
100.0,2021,19.0,6,1,0,0
24.95,2019,19.0,6,1,0,0
5.99,2018,19.0,6,1,1,0
33.5,2021,19.0,6,1,1,0
4.18,2018,19.0,6,1,1,0
24.99,2021,19.0,6,1,0,0
18.6,2020,19.0,6,1,0,0
5.02,2017,19.0,6,1,1,0
0.17,2020,19.0,6,0,1,0
28.72,2017,19.0,6,1,1,0
5.89,2018,19.0,6,1,1,0
6.7,2018,19.016666666666666,6,0,1,0
0.83,2018,19.016666666666666,6,0,1,0
4.99,2019,19.016666666666666,6,1,0,0
0.78,2021,19.016666666666666,6,0,0,0
0.88,2019,19.016666666666666,6,0,1,0
1.67,2018,19.016666666666666,6,0,1,0
4.99,2021,19.016666666666666,6,1,1,0
10.49,2018,19.016666666666666,6,1,1,0
128.86,2018,19.016666666666666,6,1,1,0
6.04,2019,19.016666666666666,6,1,1,0
6.14,2017,19.016666666666666,6,1,1,0
19.99,2018,19.016666666666666,6,1,0,0
0.16,2017,19.016666666666666,6,0,1,0
2.2,2017,19.016666666666666,6,1,1,0
6.3,2021,19.016666666666666,6,1,0,0
1.25,2017,19.016666666666666,6,0,1,0
29.94,2018,19.033333333333335,6,1,0,0
70.78,2018,19.033333333333335,6,1,1,0
30.0,2019,19.033333333333335,6,1,0,0
4.99,2019,19.033333333333335,6,1,0,0
2.76,2017,19.033333333333335,6,1,1,0
4.99,2020,19.033333333333335,6,1,0,0
0.35,2017,19.033333333333335,6,0,1,0
51.12,2017,19.033333333333335,6,1,1,0
8.37,2019,19.033333333333335,6,1,1,0
8.37,2018,19.033333333333335,6,1,1,0
24.99,2019,19.05,6,1,0,0
0.16,2018,19.05,6,0,1,0
15.08,2018,19.05,6,1,1,0
0.17,2018,19.05,6,0,1,0
1.95,2018,19.05,6,0,1,0
2.51,2021,19.05,6,1,1,0
63.67,2017,19.05,6,1,1,0
7.0,2025,19.05,6,1,0,0
26.69,2021,19.05,6,0,1,0
4.87,2018,19.05,6,0,1,0
70.0,2018,19.05,6,1,0,0
10.0,2017,19.05,6,0,0,0
21.0,2018,19.05,6,1,1,0
0.17,2020,19.05,6,0,1,0
1.38,2019,19.05,6,0,1,0
4.99,2020,19.05,6,1,0,0
1.67,2018,19.066666666666666,6,0,1,0
19.99,2023,19.066666666666666,6,1,0,0
50.27,2017,19.066666666666666,6,1,1,0
19.99,2019,19.066666666666666,6,1,0,0
0.83,2017,19.066666666666666,6,0,1,0
67.03,2017,19.066666666666666,6,1,1,0
1.67,2020,19.066666666666666,6,0,1,0
19.99,2019,19.066666666666666,6,1,0,0
9.99,2017,19.066666666666666,6,1,0,0
30.04,2018,19.066666666666666,6,1,1,0
2.99,2019,19.066666666666666,6,0,1,0
33.51,2019,19.066666666666666,6,1,1,0
4.99,2021,19.066666666666666,6,1,1,0
5.02,2019,19.066666666666666,6,1,1,0
19.93,2017,19.066666666666666,6,1,1,0
10.5,2021,19.066666666666666,6,1,0,0
9.99,2024,19.066666666666666,6,1,0,0
10.49,2019,19.066666666666666,6,1,1,0
1.67,2017,19.083333333333332,6,0,1,0
4.99,2021,19.083333333333332,6,1,1,0
4.99,2018,19.083333333333332,6,1,1,0
0.83,2021,19.083333333333332,6,1,1,0
5.02,2017,19.083333333333332,6,1,1,0
0.16,2021,19.083333333333332,6,0,1,0
0.3,2021,19.083333333333332,6,0,1,0
20.09,2017,19.083333333333332,6,1,1,0
8.37,2017,19.083333333333332,6,1,1,0
5.0,2021,19.083333333333332,6,1,1,0
9.88,2019,19.083333333333332,6,1,1,0
5.32,2024,19.083333333333332,6,1,1,0
30.0,2022,19.083333333333332,6,0,1,0
8.3,2019,19.083333333333332,6,1,1,0
12.56,2017,19.083333333333332,6,1,1,0
0.83,2020,19.083333333333332,6,1,1,0
4.9,2018,19.083333333333332,6,1,0,0
0.3,2024,19.083333333333332,6,0,0,0
5.99,2019,19.083333333333332,6,1,1,0
1.67,2018,19.083333333333332,6,0,1,0
7.7,2018,19.083333333333332,6,1,0,0
1.67,2019,19.083333333333332,6,1,1,0
4.18,2018,19.083333333333332,6,1,1,0
24.99,2021,19.083333333333332,6,1,0,0
4.99,2021,19.083333333333332,6,1,1,0
24.99,2021,19.083333333333332,6,1,0,0
29.94,2021,19.083333333333332,6,1,1,0
9.99,2020,19.083333333333332,6,1,0,0
14.99,2019,19.1,6,1,0,0
33.5,2019,19.1,6,1,1,0
4.99,2019,19.1,6,1,1,0
0.61,2017,19.1,6,0,1,0
2.68,2018,19.1,6,1,1,0
24.99,2020,19.1,6,1,0,0
4.86,2018,19.1,6,1,1,0
6.14,2020,19.1,6,1,1,0
2.67,2021,19.1,6,0,0,0
12.16,2017,19.1,6,1,1,0
0.84,2018,19.1,6,0,1,0
19.99,2020,19.1,6,1,0,0
5.94,2019,19.1,6,1,1,0
4.99,2018,19.1,6,1,0,0
25.87,2019,19.1,6,1,1,0
5.89,2018,19.1,6,1,1,0
0.83,2018,19.1,6,0,1,0
210.0,2017,19.116666666666667,6,1,1,0
0.16,2018,19.116666666666667,6,0,1,0
8.37,2019,19.116666666666667,6,1,1,0
31.2,2018,19.116666666666667,6,1,1,0
28.8,2020,19.116666666666667,6,1,1,0
0.61,2017,19.116666666666667,6,0,1,0
0.17,2019,19.116666666666667,6,0,1,0
99.99,2019,19.116666666666667,6,1,1,0
3.0,2021,19.116666666666667,6,0,1,0
19.99,2017,19.116666666666667,6,1,1,0
10.69,2021,19.116666666666667,6,1,1,0
34.99,2019,19.116666666666667,6,1,0,0
0.16,2018,19.116666666666667,6,0,1,0
8.37,2018,19.116666666666667,6,1,1,0
5.0,2018,19.116666666666667,6,0,0,0
14.07,2019,19.116666666666667,6,1,1,0
5.89,2018,19.116666666666667,6,1,1,0
10.0,2020,19.116666666666667,6,1,1,0
0.16,2017,19.116666666666667,6,0,1,0
1.76,2019,19.116666666666667,6,0,1,0
63.67,2017,19.116666666666667,6,1,1,0
9.99,2019,19.133333333333333,6,1,0,0
99.99,2020,19.133333333333333,6,1,0,0
20.0,2020,19.133333333333333,6,1,0,0
8.37,2018,19.133333333333333,6,1,1,0
126.66,2019,19.133333333333333,6,1,1,0
1.67,2020,19.133333333333333,6,0,1,0
10.51,2018,19.133333333333333,6,1,1,0
14.99,2018,19.133333333333333,6,1,0,0
26.68,2021,19.133333333333333,6,0,1,0
8.04,2017,19.133333333333333,6,0,1,0
59.94,2022,19.133333333333333,6,1,0,0
1.67,2017,19.133333333333333,6,1,1,0
10.66,2020,19.133333333333333,6,1,1,0
1.85,2020,19.15,6,1,1,0
53.62,2017,19.15,6,1,1,0
4.99,2022,19.15,6,1,1,0
99.99,2022,19.15,6,1,0,0
5.25,2021,19.15,6,1,0,0
1.25,2017,19.15,6,1,1,0
6.34,2018,19.15,6,1,1,0
8.37,2018,19.15,6,1,1,0
10.66,2017,19.15,6,1,1,0
10.0,2019,19.15,6,0,1,0
4.99,2020,19.15,6,1,1,0
1.0,2018,19.15,6,1,0,0
41.88,2019,19.15,6,1,1,0
5.89,2018,19.15,6,0,1,0
8.37,2018,19.15,6,1,1,0
0.88,2020,19.15,6,1,1,0
0.16,2018,19.15,6,0,1,0
4.99,2021,19.15,6,1,1,0
0.17,2018,19.166666666666668,6,0,1,0
0.83,2019,19.166666666666668,6,0,1,0
8.99,2018,19.166666666666668,6,1,1,0
4.99,2019,19.166666666666668,6,1,0,0
5.99,2017,19.166666666666668,6,1,1,0
2.49,2021,19.166666666666668,6,1,1,0
4.99,2018,19.166666666666668,6,1,1,0
8.04,2018,19.166666666666668,6,0,1,0
5.32,2020,19.166666666666668,6,1,1,0
15.82,2019,19.166666666666668,6,0,1,0
50.26,2019,19.166666666666668,6,1,1,0
147.36,2019,19.166666666666668,6,1,0,0
0.26,2018,19.166666666666668,6,0,1,0
59.99,2018,19.183333333333334,6,1,0,0
4.2,2021,19.183333333333334,6,1,1,0
9.85,2018,19.183333333333334,6,1,1,0
147.36,2018,19.183333333333334,6,1,0,0
1.67,2017,19.183333333333334,6,1,1,0
20.09,2021,19.183333333333334,6,1,1,0
6.0,2018,19.183333333333334,6,1,1,0
10.49,2018,19.183333333333334,6,1,1,0
53.39,2020,19.183333333333334,6,1,1,0
2.63,2026,19.183333333333334,6,1,1,0
147.36,2017,19.183333333333334,6,1,0,0
6.68,2018,19.183333333333334,6,1,1,0
36.6,2017,19.183333333333334,6,1,1,0
4.99,2018,19.183333333333334,6,1,0,0
4.99,2018,19.183333333333334,6,1,1,0
100.0,2021,19.183333333333334,6,1,0,0
4.99,2019,19.2,6,1,1,0
1.67,2017,19.2,6,0,1,0
13.0,2021,19.2,6,1,0,0
5.99,2019,19.2,6,1,1,0
5.24,2018,19.2,6,1,1,0
8.39,2019,19.2,6,1,1,0
8.37,2019,19.2,6,1,1,0
1.1,2017,19.2,6,1,1,0
24.99,2025,19.2,6,1,0,0
10.69,2019,19.2,6,1,1,0
5.02,2021,19.2,6,1,1,0
24.99,2019,19.2,6,1,0,0
11.2,2018,19.2,6,1,1,0
19.99,2024,19.216666666666665,6,1,0,0
1.1,2017,19.216666666666665,6,1,1,0
4.52,2019,19.216666666666665,6,1,1,0
0.83,2019,19.216666666666665,6,0,1,0
10.66,2017,19.216666666666665,6,1,1,0
20.0,2018,19.216666666666665,6,1,0,0
5.99,2019,19.216666666666665,6,1,1,0
9.95,2021,19.216666666666665,6,1,0,0
10.49,2018,19.216666666666665,6,1,1,0
49.99,2017,19.216666666666665,6,1,0,0
6.34,2019,19.216666666666665,6,1,1,0
10.49,2020,19.216666666666665,6,1,1,0
15.0,2018,19.216666666666665,6,1,1,0
6.42,2018,19.216666666666665,6,1,1,0
8.37,2017,19.216666666666665,6,0,1,0
0.98,2017,19.216666666666665,6,0,1,0
3.0,2025,19.216666666666665,6,0,0,0
8.41,2021,19.216666666666665,6,1,1,0
10.0,2018,19.216666666666665,6,1,0,0
30.0,2018,19.233333333333334,6,1,1,0
0.83,2018,19.233333333333334,6,1,1,0
6.03,2018,19.233333333333334,6,1,1,0
